['9510996', '/concerts/26007128-brand-new-at-ascend-amphitheater']
['9511086', 'NoResults']
['9511174', '/concerts/25991573-kills-at-exitin']
['9511694', '/concerts/25992243-brian-jonestown-massacre-at-mercy-lounge']
['9511778', 'NoResults']
['9512145', 'NoResults']
['9512236', '/concerts/25991378-lone-bellow-at-']
['9512237', '/concerts/25991378-lone-bellow-at-']
['9512325', '/concerts/26014708-geographer-at-mercy-lounge']
['9512334', '/concerts/26021983-datsik-at-marathon-music-works']
['9512376', '/concerts/26022118-filter-at-exitin']
['9512674', 'NoResults']
['9513589', '/concerts/26044243-ray-lamontagne-at-ascend-amphitheater']
['9513740', '/concerts/26008768-charles-bradley-at-exitin']
['9513926', '/concerts/26058938-barenaked-ladies-at-ascend-amphitheater']
['9514250', '/concerts/26068773-santigold-at-marathon-music-works']
['9514290', '/concerts/26066138-smashing-pumpkins-at-ryman-auditorium']
['9514299', '/concerts/26067188-bryan-ferry-at-ryman-auditorium']
['9514667', 'NoResults']
['9516473', '/concerts/26097208-vince-gill-at-grand-ole-opry-house']
['9516474', '/concerts/26259389-eric-church-at-grand-ole-opry-house']
['9516475', '/concerts/26259389-eric-church-at-grand-ole-opry-house']
['9516476', '/concerts/26259389-eric-church-at-grand-ole-opry-house']
['9516477', '/concerts/26259389-eric-church-at-grand-ole-opry-house']
['9516485', '/concerts/26072163-bloc-party-at-cannery-ballroom']
['9516755', 'NoResults']
['9516756', 'NoResults']
['9517123', '/concerts/26096713-front-bottoms-at-exitin']
['9517821', '/concerts/26061983-half-moon-run-at-mercy-lounge']
['9519199', '/concerts/26062058-punch-brothers-at-schermerhorn-symphony-center']
['9519804', '/concerts/26129868-beyonce-at-nissan-stadium-nashville']
['9521447', '/concerts/26141113-neighbourhood-at-marathon-music-works']
['9522276', 'NoResults']
['9522676', '/concerts/26168779-spill-canvas-at-exitin']
['9523086', '/concerts/26179044-jimmy-buffett-at-ascend-amphitheater']
['9523133', '/concerts/26117958-struts-at-mercy-lounge']
['9523284', 'NoResults']
['9523590', '/concerts/26155074-sonics-at-exitin']
['9523996', '/concerts/26152409-lukas-graham-at-']
['9527331', '/concerts/26088838-deerhunter-at-exitin']
['9527798', 'NoResults']
['9528147', 'NoResults']
['9528392', '/concerts/26218269-wombats-at-cannery-ballroom']
['9528464', '/concerts/25993113-brian-wilson-at-ryman-auditorium']
['9528468', '/concerts/26218189-huey-lewis-and-the-news-at-schermerhorn-symphony-center']
['9529334', '/concerts/25983993-savages-at-exitin']
['9529385', '/concerts/26217394-tokyo-police-club-at-mercy-lounge']
['9530292', '/concerts/26206659-dave-barnes-at-ryman-auditorium']
['9530312', '/concerts/26274289-paul-simon-at-ryman-auditorium']
['9530313', '/concerts/26274289-paul-simon-at-ryman-auditorium']
['9530589', '/concerts/26216929-pat-benatar-and-neil-giraldo-at-schermerhorn-symphony-center']
['9530629', '/concerts/26275084-goo-goo-dolls-at-ascend-amphitheater']
['9530997', '/concerts/26230414-atlas-genius-at-']
['9531410', '/concerts/26288834-damien-jurado-at-mercy-lounge']
['9531518', '/concerts/26288099-barry-manilow-at-bridgestone-arena']
['9531657', '/concerts/26282809-candlebox-at-']
['9532118', '/concerts/26137958-selah-at-ryman-auditorium']
['9532235', '/concerts/26279629-weird-al-yankovic-at-grand-ole-opry-house']
['9533034', 'NoResults']
['9533080', 'NoResults']
['9534142', 'NoResults']
['9534143', 'NoResults']
['9534144', 'NoResults']
['9534145', 'NoResults']
['9534146', 'NoResults']
['9534348', '/concerts/26341144-flight-of-the-conchords-at-ascend-amphitheater']
['9534614', '/concerts/26363464-black-lips-at-exitin']
['9534922', 'NoResults']
['9535072', '/concerts/26347449-slipknot-at-bridgestone-arena']
['9535274', 'NoResults']
['9535850', '/concerts/26346924-deftones-at-ryman-auditorium']
['9536060', '/concerts/26259389-eric-church-at-grand-ole-opry-house']
['9536475', '/concerts/26349069-mayer-hawthorne-at-marathon-music-works']
['9536691', 'NoResults']
['9537239', '/concerts/25957593-bane-at-end']
['9537486', '/concerts/26375709-enter-shikari-at-rocketown']
['9537516', '/concerts/26403364-']
['9537662', '/concerts/26423744-cyndi-lauper-at-ryman-auditorium']
['9537750', '/concerts/26360854-sebastian-bach-at-mercy-lounge']
['9537824', '/concerts/26311009-yeasayer-at-exitin']
['9538352', '/concerts/26385824-silversun-pickups-at-ryman-auditorium']
['9539433', '/concerts/26424329-harry-connick-jr-at-ryman-auditorium']
['9539481', 'NoResults']
['9540576', '/concerts/26423689-lucinda-williams-at-ryman-auditorium']
['9540694', 'NoResults']
['9540810', '/concerts/26424329-harry-connick-jr-at-ryman-auditorium']
['9542157', '/concerts/26136678-strumbellas-at-high-watt']
['9542190', '/concerts/25919658-safetysuit-at-exitin']
